"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 09- 15","14.25","13.35","14.40","13.25","81.57K","6.61%"
"2023- 09- 14","13.37","13.95","13.96","13.30","73.19K","-4.50%"
"2023- 09- 13","14.00","14.60","14.95","13.90","91.26K","-4.37%"
"2023- 09- 12","14.64","14.62","14.85","14.25","74.98K","0.37%"
"2023- 09- 11","14.58","14.85","14.90","14.40","82.80K","-2.38%"
"2023- 09- 08","14.94","15.25","15.70","14.65","82.26K","-2.36%"
"2023- 09- 07","15.30","15.30","16.21","15.20","79.49K","-0.29%"
"2023- 09- 06","15.35","15.15","15.80","15.00","83.01K","2.36%"
"2023- 09- 05","14.99","14.80","15.25","14.60","64.45K","1.32%"
"2023- 09- 01","14.80","15.02","15.05","14.60","62.88K","-1.64%"
"2023- 08- 31","15.04","15.28","15.41","14.93","66.55K","-1.69%"
"2023- 08- 30","15.30","15.90","16.05","15.25","65.88K","-3.77%"
"2023- 08- 29","15.90","16.42","16.60","15.76","82.18K","-3.22%"
"2023- 08- 28","16.43","17.15","17.22","16.40","71.14K","-4.34%"
"2023- 08- 25","17.18","18.10","18.30","16.95","91.36K","-4.62%"
"2023- 08- 24","18.01","16.90","18.15","16.80","82.39K","4.15%"
"2023- 08- 23","17.29","17.90","17.92","16.90","64.27K","-3.39%"
"2023- 08- 22","17.90","17.96","18.26","17.37","66.20K","0.29%"
"2023- 08- 21","17.85","18.44","18.55","17.75","75.86K","-3.25%"
"2023- 08- 18","18.45","18.85","19.55","18.20","123.68K","-2.15%"
"2023- 08- 17","18.85","18.00","18.95","17.60","110.44K","15.82%"
"2023- 08- 16","16.28","16.25","16.60","15.95","1.68K","0.66%"
"2023- 08- 15","16.17","14.90","16.55","14.60","100.05K","8.94%"
"2023- 08- 14","14.85","15.35","15.90","14.80","78.95K","-3.31%"
"2023- 08- 11","15.35","16.05","16.68","15.25","96.10K","-4.08%"
"2023- 08- 10","16.01","16.30","16.95","15.10","174.27K","-2.08%"
"2023- 08- 09","16.35","16.50","17.20","15.85","133.42K","-0.90%"
"2023- 08- 08","16.50","16.25","18.55","16.20","163.44K","1.23%"
"2023- 08- 07","16.29","17.35","17.45","16.20","94.65K","-6.93%"
"2023- 08- 04","17.51","16.75","17.60","15.65","128.23K","4.53%"
"2023- 08- 03","16.75","16.85","17.75","16.35","125.89K","0.28%"
"2023- 08- 02","16.70","15.50","17.20","15.35","164.18K","10.81%"
"2023- 08- 01","15.07","14.88","15.45","14.80","64.88K","1.41%"
"2023- 07- 31","14.86","15.05","15.20","14.78","58.01K","-0.84%"
"2023- 07- 28","14.99","15.65","15.75","14.85","77.54K","-4.46%"
"2023- 07- 27","15.69","14.90","16.10","14.50","122.90K","5.37%"
"2023- 07- 26","14.89","15.28","15.57","14.80","73.39K","-2.99%"
"2023- 07- 25","15.35","15.40","15.45","15.00","54.40K","-0.22%"
"2023- 07- 24","15.38","15.70","15.74","15.20","55.43K","-1.48%"
"2023- 07- 21","15.61","15.80","15.85","15.30","63.36K","-1.48%"
"2023- 07- 20","15.85","15.86","16.12","15.60","65.37K","21.71%"
"2023- 07- 19","13.02","13.30","13.30","13.03","1.21K","-2.11%"
"2023- 07- 18","13.30","13.65","13.90","13.25","59.44K","-2.91%"
"2023- 07- 17","13.70","13.75","14.00","13.55","54.34K","-0.77%"
"2023- 07- 14","13.80","14.19","14.40","13.75","61.76K","-2.73%"
"2023- 07- 13","14.19","14.30","14.31","13.90","76.53K","-0.71%"
"2023- 07- 12","14.29","15.41","15.70","14.25","99.60K","-8.10%"
"2023- 07- 11","15.55","15.77","15.83","15.20","87.46K","-1.41%"
"2023- 07- 10","15.77","15.90","16.40","15.60","76.87K","-0.55%"
"2023- 07- 07","15.86","16.30","16.70","15.50","103.90K","-1.88%"
"2023- 07- 06","16.17","15.26","17.95","15.25","173.64K","5.78%"
"2023- 07- 05","15.28","14.88","15.35","14.85","59.96K","2.60%"
"2023- 07- 03","14.89","15.05","15.21","14.85","33.42K","-0.78%"
