"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 04","5,197.25","5,270.75","5,308.50","5,192.50","","-1.31%"
"2024- 04- 03","5,266.50","5,262.50","5,280.75","5,244.50","0.00K","0.11%"
"2024- 04- 02","5,260.50","5,294.50","5,296.00","5,235.00","0.00K","-0.66%"
"2024- 04- 01","5,295.25","5,314.25","5,333.50","5,282.25","0.00K","-0.25%"
"2024- 03- 28","5,308.50","5,308.00","5,321.00","5,301.00","","0.00%"
"2024- 03- 27","5,308.25","5,273.25","5,313.75","5,270.75","","0.82%"
"2024- 03- 26","5,265.25","5,280.75","5,300.50","5,263.00","","-0.25%"
"2024- 03- 25","5,278.25","5,290.50","5,295.00","5,272.50","","-0.28%"
"2024- 03- 22","5,293.25","5,306.75","5,311.75","5,287.75","","-0.17%"
"2024- 03- 21","5,302.50","5,294.75","5,322.75","5,293.50","0.00K","0.30%"
"2024- 03- 20","5,286.75","5,239.75","5,297.75","5,233.00","","0.86%"
"2024- 03- 19","5,241.75","5,215.25","5,244.75","5,186.00","","0.52%"
"2024- 03- 18","5,214.75","5,185.75","5,240.25","5,181.75","","2.22%"
"2024- 03- 15","5,101.67","5,152.25","5,167.00","5,114.00","","-1.01%"
"2024- 03- 14","5,153.75","5,171.50","5,189.50","5,124.25","","-0.28%"
"2024- 03- 13","5,168.00","5,176.00","5,183.75","5,153.00","","-0.18%"
"2024- 03- 12","5,177.25","5,129.00","5,183.00","5,112.75","0.05K","1.06%"
"2024- 03- 11","5,123.00","5,132.50","5,133.25","5,094.75","0.02K","-0.12%"
"2024- 03- 08","5,129.00","5,159.25","5,193.00","5,121.75","0.02K","-0.63%"
"2024- 03- 07","5,161.75","5,114.25","5,170.50","5,086.50","","0.98%"
"2024- 03- 06","5,111.75","5,091.00","5,134.50","5,083.75","","0.51%"
"2024- 03- 05","5,085.75","5,133.75","5,135.50","5,063.00","0.06K","-1.02%"
"2024- 03- 04","5,138.25","5,142.00","5,157.75","5,132.00","0.14K","-0.15%"
"2024- 03- 01","5,146.00","5,101.50","5,149.25","5,089.25","0.00K","0.83%"
"2024- 02- 29","5,103.75","5,072.00","5,114.50","5,060.00","","0.45%"
"2024- 02- 28","5,081.00","5,090.75","5,091.25","5,063.25","","-0.18%"
"2024- 02- 27","5,090.00","5,077.50","5,093.00","5,067.00","","0.19%"
"2024- 02- 26","5,080.25","5,095.00","5,108.00","5,076.25","","-0.42%"
"2024- 02- 23","5,101.50","5,094.25","5,123.50","5,092.00","","0.07%"
"2024- 02- 22","5,097.75","5,016.00","5,107.75","5,015.25","0.02K","2.03%"
"2024- 02- 21","4,996.25","4,990.00","5,020.50","4,959.00","","0.10%"
"2024- 02- 20","4,991.50","5,016.50","5,029.50","4,968.25","","-0.56%"
"2024- 02- 16","5,019.75","5,049.50","5,059.25","5,012.75","","-0.53%"
"2024- 02- 15","5,046.50","5,017.50","5,051.75","5,011.00","0.00K","0.57%"
"2024- 02- 14","5,018.00","4,974.25","5,022.50","4,968.75","","0.94%"
"2024- 02- 13","4,971.25","5,034.00","5,040.00","4,936.50","","-1.39%"
"2024- 02- 12","5,041.25","5,042.50","5,066.50","5,031.50","","-0.05%"
"2024- 02- 09","5,044.00","5,014.50","5,048.50","5,013.00","","0.52%"
"2024- 02- 08","5,017.75","5,015.75","5,020.00","5,003.75","","0.05%"
"2024- 02- 07","5,015.25","4,971.50","5,020.00","4,970.00","","0.81%"
"2024- 02- 06","4,974.75","4,959.50","4,978.25","4,954.50","","0.26%"
"2024- 02- 05","4,962.00","4,976.00","4,980.75","4,937.75","0.00K","-0.37%"
"2024- 02- 02","4,980.25","4,952.75","4,997.75","4,925.75","0.01K","1.05%"
"2024- 02- 01","4,928.50","4,874.50","4,963.75","4,872.50","0.00K","1.19%"
"2024- 01- 31","4,870.50","4,930.25","4,938.00","4,866.00","","-1.63%"
"2024- 01- 30","4,951.00","4,950.25","4,957.25","4,933.00","","-0.07%"
"2024- 01- 29","4,954.50","4,908.75","4,956.00","4,901.75","0.05K","0.78%"
"2024- 01- 26","4,916.25","4,919.25","4,934.25","4,898.50","0.03K","-0.14%"
"2024- 01- 25","4,923.25","4,899.50","4,926.50","4,893.25","0.02K","0.52%"
"2024- 01- 24","4,898.00","4,900.25","4,933.25","4,889.00","","0.06%"
"2024- 01- 23","4,895.00","4,881.75","4,902.00","4,874.25","0.01K","0.29%"
"2024- 01- 22","4,881.00","4,872.50","4,898.25","4,872.50","","0.24%"
"2024- 01- 19","4,869.50","4,811.25","4,874.25","4,808.50","","1.21%"
"2024- 01- 18","4,811.25","4,768.00","4,817.00","4,763.50","","0.84%"
