"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 08- 22","15,865.00","14,974.50","15,118.25","14,932.00","623.73K","-0.17%"
"2023- 08- 21","15,892.00","14,762.50","15,013.75","14,720.50","641.69K","1.57%"
"2023- 08- 18","15,647.00","14,748.00","14,802.75","14,609.25","731.24K","-0.24%"
"2023- 08- 17","15,685.00","14,940.25","15,018.25","14,738.25","681.40K","-1.04%"
"2023- 08- 16","15,850.00","15,110.75","15,166.00","14,921.50","641.61K","-1.03%"
"2023- 08- 15","16,015.00","15,279.00","15,335.00","15,074.75","593.60K","-1.02%"
"2023- 08- 14","16,180.00","15,104.00","15,282.00","15,020.75","554.63K","1.09%"
"2023- 08- 11","16,005.00","15,219.00","15,266.75","15,037.25","613.96K","-0.66%"
"2023- 08- 10","16,111.00","15,202.50","15,442.25","15,136.00","807.10K","0.14%"
"2023- 08- 09","16,089.00","15,351.75","15,432.50","15,146.50","652.73K","-1.08%"
"2023- 08- 08","16,265.00","15,495.00","15,497.75","15,218.00","638.81K","-0.82%"
"2023- 08- 07","16,399.00","15,370.50","15,495.50","15,334.25","578.30K","0.74%"
"2023- 08- 04","16,278.00","15,441.00","15,610.25","15,336.50","773.23K","-0.52%"
"2023- 08- 03","16,363.00","15,455.75","15,551.75","15,339.50","658.84K","-0.21%"
"2023- 08- 02","16,397.00","15,757.00","15,789.75","15,414.00","773.50K","-2.06%"
"2023- 08- 01","16,742.00","15,869.25","15,889.25","15,728.25","529.66K","-0.24%"
"2023- 07- 31","16,782.00","15,850.00","15,917.00","15,791.25","523.90K","0.14%"
"2023- 07- 28","16,759.00","15,580.00","15,896.00","15,546.25","689.39K","1.69%"
"2023- 07- 27","16,481.00","15,638.75","15,904.00","15,511.25","846.44K","-0.24%"
"2023- 07- 26","16,521.00","15,730.25","15,739.25","15,515.00","683.83K","-0.32%"
"2023- 07- 25","16,574.00","15,570.00","15,736.25","15,549.25","554.88K","0.69%"
"2023- 07- 24","16,461.00","15,556.00","15,618.75","15,483.75","561.88K","5.82%"
"2023- 07- 22","15,555.00","15,555.00","15,555.00","15,555.00","","-5.38%"
"2023- 07- 21","16,439.00","15,590.75","15,719.25","15,522.25","704.41K","-0.32%"
"2023- 07- 20","16,492.00","15,922.75","15,925.75","15,547.00","810.48K","-2.19%"
"2023- 07- 19","16,862.00","15,949.25","16,062.75","15,911.25","682.28K","-0.09%"
"2023- 07- 18","16,878.00","15,832.00","16,029.75","15,733.00","633.27K","0.81%"
"2023- 07- 17","16,743.00","15,690.00","15,882.75","15,661.50","522.13K","0.88%"
"2023- 07- 14","16,596.75","15,699.00","15,857.25","15,663.00","629.94K","-0.07%"
"2023- 07- 13","16,608.75","15,457.75","15,741.25","15,456.50","563.94K","1.45%"
"2023- 07- 12","16,372.00","15,258.00","15,507.75","15,254.50","649.43K","1.11%"
"2023- 07- 11","16,192.00","15,195.75","15,278.75","15,109.50","552.64K","0.43%"
"2023- 07- 10","16,122.00","15,198.50","15,218.25","15,063.25","609.95K","-0.09%"
"2023- 07- 07","16,136.00","15,211.75","15,359.75","15,172.25","555.12K","-0.35%"
"2023- 07- 06","16,193.00","15,353.75","15,366.00","15,111.50","574.68K","-0.75%"
"2023- 07- 05","16,316.00","15,357.00","15,432.00","15,255.25","519.86K","6.36%"
"2023- 07- 04","15,340.75","15,336.50","15,368.25","15,334.50","47.24K","-6.00%"
"2023- 07- 03","16,320.00","15,331.00","15,392.00","15,308.00","265.06K","0.29%"
"2023- 06- 30","16,272.00","15,106.00","15,376.75","15,099.00","529.46K","1.65%"
"2023- 06- 29","16,008.50","15,161.00","15,202.75","15,028.50","594.13K","-0.02%"
"2023- 06- 28","16,011.00","15,088.25","15,219.00","15,021.25","662.15K","0.05%"
"2023- 06- 27","16,003.00","14,875.00","15,139.25","14,862.25","569.20K","1.75%"
"2023- 06- 26","15,728.00","15,057.75","15,152.50","14,853.50","649.99K","-1.28%"
"2023- 06- 23","15,932.00","15,236.00","15,236.00","14,985.25","620.59K","-0.97%"
"2023- 06- 22","16,088.00","15,038.75","15,238.00","14,964.00","611.02K","1.07%"
"2023- 06- 21","15,917.00","15,247.50","15,273.25","15,002.25","640.70K","-1.33%"
"2023- 06- 20","16,132.00","15,303.25","15,322.50","15,126.50","652.88K","5.79%"
"2023- 06- 19","15,249.00","15,302.25","15,305.50","15,230.50","89.63K","-0.35%"
"2023- 06- 18","15,302.75","15,303.00","15,321.00","15,300.75","5.53K","-4.92%"
"2023- 06- 16","16,094.00","15,181.25","15,324.00","15,130.50","10.20K","-0.64%"
"2023- 06- 15","16,198.00","15,038.00","15,252.00","14,878.00","139.78K","1.09%"
"2023- 06- 14","16,023.00","14,925.00","15,061.50","14,793.00","204.10K","0.92%"
"2023- 06- 13","15,877.00","14,824.00","14,967.75","14,779.50","347.12K","0.89%"
"2023- 06- 12","15,737.00","14,560.25","14,827.00","14,554.25","397.39K","1.61%"
